2005,lightning,lightning,0.01,42.8445,-123.86083
2005,equipment use,other forest mgt. worker,15.5,45.62033,-123.14883
2005,lightning,lightning,0.01,44.72166,-117.93
2005,miscellaneous,other forest mgt. worker,0.02,44.58333,-123.38333
2005,miscellaneous,other-public,7.2,46.135,-123.65616
2005,lightning,lightning,6.0,43.12083,-121.2705
2005,lightning,lightning,0.25,45.105,-118.45833
2005,debris burning,rancher-farmer,1.25,44.56616,-124.02716
2005,smoking,hiker,0.01,42.25633,-123.57233
2005,miscellaneous,public utility,1.3,42.98933,-123.3435
2005,smoking,recreationist,0.1,42.52616,-121.60033
2005,equipment use,motorist,0.01,44.4,-122.62283
2005,lightning,lightning,1.0,43.86833,-123.1515
2005,lightning,lightning,0.25,43.87516,-122.94666
2005,debris burning,ruralist-paying,0.25,43.56983,-124.13566
2005,debris burning,other-landowner related,0.1,45.4275,-123.84333
2005,lightning,lightning,2.5,44.64583,-117.90666
2005,lightning,lightning,0.1,42.16866,-120.63333
2005,arson,motorist,680.0,45.51,-117.9
2005,debris burning,ruralist-paying,2.0,44.53516,-123.72633
2005,equipment use,recreationist,0.01,42.16833,-122.46333
2005,lightning,lightning,0.01,44.47666,-122.7915
2014,lightning,lightning,0.01,43.40722,-121.71361
2005,recreation,other-public,0.01,43.78933,-123.4475
2005,debris burning,ruralist-paying,0.01,45.5065,-121.58166
2005,smoking,other-public,0.1,43.83683,-121.474
2005,lightning,lightning,0.01,44.92866,-118.045
2005,debris burning,ruralist-paying,0.02,46.0355,-123.353
2005,smoking,recreationist,35.0,43.09016,-123.87083
2005,lightning,lightning,52.3,44.84733,-119.4625
2005,debris burning,ruralist-paying,0.15,45.44166,-123.88666
2005,lightning,lightning,0.25,42.10383,-120.95133
2005,arson,motorist,1.0,45.40933,-117.89083
2005,equipment use,public utility,0.01,44.61666,-123.53333
2005,equipment use,motorist,0.01,44.11666,-122.46666
2005,lightning,lightning,0.25,44.1965,-123.5975
2005,debris burning,rancher-farmer,0.01,45.6545,-121.56866
2005,smoking,recreationist,0.7,45.554,-122.185
2005,equipment use,timber harvest worker,178.67,43.11316,-123.83866
2005,lightning,lightning,45.5,44.89666,-119.3095
2005,lightning,lightning,2.5,42.059,-120.98733
2005,equipment use,motorist,0.01,44.55,-123.31666
2005,debris burning,ruralist-paying,1.0,45.095,-123.61166
2005,recreation,recreationist,0.05,44.96116,-123.90483
2005,equipment use,ruralist-paying,0.25,42.46566,-123.02933
2005,miscellaneous,other-public,0.1,42.13833,-121.961
2005,lightning,lightning,0.01,44.60633,-122.30866
2005,debris burning,rancher-farmer,0.01,45.6,-121.5025
2005,lightning,lightning,0.3,44.30316,-118.5725
2005,lightning,lightning,0.5,44.44666,-117.89666
2005,lightning,lightning,0.1,45.552,-117.5935
2005,equipment use,timber harvest worker,44.0,43.48133,-124.005
2005,lightning,lightning,0.25,44.309,-119.79333
2005,recreation,recreationist,0.01,44.99566,-122.48916
2005,recreation,other-public,0.25,45.36883,-118.59783
2005,debris burning,ruralist-paying,1.0,44.65833,-124.015
2005,miscellaneous,other-landowner related,0.1,42.6665,-122.68016
2005,recreation,recreationist,0.01,44.45933,-122.47466
2005,lightning,lightning,2.0,43.78533,-123.5075
2005,debris burning,other forest mgt. worker,0.37,45.66016,-123.02866
2005,debris burning,other-landowner related,0.01,46.03433,-122.91566
2005,debris burning,ruralist-paying,0.25,45.3375,-122.186
2005,equipment use,timber harvest worker,0.2,45.05366,-119.745
2005,recreation,recreationist,149.75,45.16183,-118.74566
2005,miscellaneous,recreationist,1.0,45.59833,-123.58833
2005,recreation,recreationist,1165.0,45.335,-118.345
2005,equipment use,timber harvest worker,0.25,42.55,-122.81666
